,loss,mse,mae,r_square,val_loss,val_mse,val_mae,val_r_square
3125,3.371836976295839e-10,3.371836976295839e-10,1.4692473087052349e-05,0.995816171169281,1.2070469623814972e-10,1.2070469623814972e-10,9.72697489487473e-06,0.9972087740898132
3126,1.2078021915939985e-10,1.2078021915939985e-10,8.804550816421397e-06,0.9984962940216064,2.373458929394445e-10,2.373458929394445e-10,1.462478940084111e-05,0.9949049949645996
3127,1.4517261004431958e-10,1.4517261004431958e-10,1.0017698514275253e-05,0.9983039498329163,2.8506997110100407e-11,2.8506997110100407e-11,4.4598441490961704e-06,0.999426007270813
3128,2.3823598649386213e-10,2.3823598649386213e-10,1.2116277503082529e-05,0.9967946410179138,2.6001317765533827e-10,2.6001317765533827e-10,1.5544050256721675e-05,0.9944149255752563
3129,2.883756566873785e-10,2.883756566873785e-10,1.4654464393970557e-05,0.9962684512138367,2.3352347833238696e-11,2.3352347833238696e-11,3.892986114806263e-06,0.9994761943817139
3130,1.196188426089151e-10,1.196188426089151e-10,9.20732691156445e-06,0.9986398220062256,2.4687453470395582e-11,2.4687453470395582e-11,4.069943770446116e-06,0.999470055103302
3131,6.249164519189776e-10,6.249164519189776e-10,2.1465286408783868e-05,0.9920920729637146,3.4682040572775463e-10,3.4682040572775463e-10,1.805814463295974e-05,0.9925285577774048
3132,7.432072179902605e-10,7.432072179902605e-10,2.3836149921407923e-05,0.990774393081665,2.813440369564546e-09,2.813440369564546e-09,5.2766907174373046e-05,0.937550961971283
3133,9.752033625076706e-10,9.752033625076706e-10,2.5032541088876314e-05,0.9882476329803467,1.1756727535949807e-10,1.1756726148171026e-10,9.919657713908236e-06,0.9971970319747925
3134,1.0039754583246463e-09,1.0039754583246463e-09,2.5233710402972065e-05,0.9882730841636658,3.470741472000327e-10,3.470741472000327e-10,1.552843787067104e-05,0.9933624267578125
3135,1.4372214529601024e-09,1.4372214529601024e-09,3.1760755518916994e-05,0.9838117957115173,1.1576162251003552e-10,1.1576162251003552e-10,9.382976713823155e-06,0.9975003004074097
